time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-05T22:52:08.006Z,43.2927,147.8523,10,4.4,mb,,172,3.691,0.69,us,us60006mpu,2019-12-06T01:35:29.040Z,"107km ESE of Shikotan, Russia",earthquake,10.3,2,0.053,102,reviewed,us,us
2019-12-05T22:49:15.039Z,50.9579,-3.1149,10,3.4,ml,,185,3.048,0.64,us,us60006mp4,2019-12-07T08:06:55.426Z,"7km S of Taunton, United Kingdom",earthquake,9.9,2,0.128,8,reviewed,us,us
2019-12-05T21:11:48.503Z,56.9056,-149.4263,11.6,3.8,ml,,,,0.87,ak,ak019fkzr7ee,2019-12-05T22:16:41.040Z,"196km ESE of Kodiak, Alaska",earthquake,,5,,,reviewed,ak,ak
2019-12-05T20:31:20.461Z,60.0408,-152.8189,102.1,3.4,ml,,,,0.73,ak,ak019fkza076,2019-12-05T21:34:00.040Z,"49km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-05T20:12:55.093Z,62.487,-151.0292,205.5,2.8,ml,,,,0.51,ak,ak019fkz66rh,2019-12-05T20:18:00.179Z,"50km WNW of Talkeetna, Alaska",earthquake,,5.6,,,automatic,ak,ak
2019-12-05T19:32:43.012Z,-7.4969,128.3728,142.37,4.9,mb,,34,2.939,1.22,us,us60006mhw,2019-12-05T21:29:35.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,6.7,6.5,0.072,61,reviewed,us,us
2019-12-05T19:19:26.870Z,18.9693,-67.1455,42,3.07,md,16,211,0.503,0.76,pr,pr2019339007,2019-12-05T21:25:33.040Z,"49km N of San Antonio, Puerto Rico",earthquake,2.76,8.82,0.34,16,reviewed,pr,pr
2019-12-05T19:01:14.531Z,17.4128,-94.5002,141.98,4.8,mb,,127,2.527,0.56,us,us60006mha,2019-12-06T17:01:43.357Z,"43km SSE of Hidalgotitlan, Mexico",earthquake,8.5,8.3,0.038,219,reviewed,us,us
2019-12-05T18:50:06.116Z,64.6352,-138.8264,8.7,3.6,ml,,,,1,ak,ak019fky76br,2019-12-05T23:23:03.040Z,"70km NNE of Dawson, Canada",earthquake,,0.7,,,reviewed,ak,ak
2019-12-05T18:01:42.880Z,19.3085,-155.4908333,11.22,2.6,ml,54,73,0.0603,0.12,hv,hv71263241,2019-12-06T01:30:56.670Z,"11km N of Pahala, Hawaii",earthquake,0.26,0.43,0.148,38,reviewed,hv,hv
2019-12-05T16:24:23.793Z,13.4633,-90.5584,49.98,4.2,mb,,130,1.489,1.04,us,us60006mfm,2019-12-06T16:44:09.040Z,"54km SSE of Iztapa, Guatemala",earthquake,6.2,6.4,0.103,26,reviewed,us,us
2019-12-05T16:07:30.874Z,40.5702,-116.3415,4.9,2.8,ml,10,75.77,0.363,0.1668,nn,nn00712412,2019-12-06T16:42:18.040Z,"26km SW of Carlin, Nevada",earthquake,,8.4,0.32,8,reviewed,nn,nn
2019-12-05T15:53:03.325Z,-20.277,-178.1067,536.84,4.3,mb,,91,4.42,0.83,us,us60006mf8,2019-12-06T16:40:44.332Z,"74km NE of Ndoi Island, Fiji",earthquake,12.8,7.7,0.065,76,reviewed,us,us
2019-12-05T15:11:46.737Z,13.9938,-91.8042,58.25,4.5,mb,,129,0.538,0.77,us,us60006mf1,2019-12-06T15:34:00.040Z,"35km SSE of Champerico, Guatemala",earthquake,7.7,7.7,0.034,260,reviewed,us,us
2019-12-05T14:54:12.266Z,31.126,131.3773,43.81,4.9,mb,,130,2.037,0.71,us,us60006mev,2019-12-05T15:26:16.040Z,"39km SSE of Kushima, Japan",earthquake,8.1,7.6,0.068,70,reviewed,us,us
2019-12-05T14:31:16.140Z,36.35916667,-98.15033333,6.26,2.95,ml,23,76,0.0413918775,0.21,ok,ok2019xuqu,2019-12-05T15:01:57.836Z,"23km SSE of Helena, Oklahoma",earthquake,,0.5,0.2,8,reviewed,ok,ok
2019-12-05T14:30:22.070Z,36.36333333,-98.15216667,6.14,2.85,ml,99,45,0,0.16,ok,ok2019xuqt,2019-12-05T14:44:38.185Z,"22km SSE of Helena, Oklahoma",earthquake,,0.3,0.27,36,reviewed,ok,ok
2019-12-05T13:38:51.408Z,58.1914,-155.3606,0,2.5,ml,,,,0.53,ak,ak019fkv5jg3,2019-12-06T01:49:56.050Z,"94km SE of King Salmon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-12-05T13:35:22.139Z,36.8923,140.28,48.9,4.6,mb,,128,1.7,0.58,us,us60006me2,2019-12-05T15:46:33.840Z,"15km NNW of Daigo, Japan",earthquake,8.4,7.5,0.045,149,reviewed,us,us
2019-12-05T12:38:28.222Z,49.7826,156.1439,52.98,4.9,mb,,83,3.469,0.85,us,us60006mdm,2019-12-05T12:51:17.040Z,"99km S of Severo-Kuril'sk, Russia",earthquake,6.5,7.2,0.065,74,reviewed,us,us
2019-12-05T12:24:45.623Z,5.3638,126.7713,60.98,5.5,mww,,39,2.068,0.8,us,us60006mdf,2019-12-06T12:26:46.690Z,"128km SSE of Pondaguitan, Philippines",earthquake,7.2,6.5,0.08,15,reviewed,us,us
2019-12-05T12:19:20.064Z,0.9767,127.4934,150.55,4.4,mb,,74,0.239,1.16,us,us60006mdd,2019-12-07T06:42:14.040Z,"22km NNE of Ternate, Indonesia",earthquake,10,6.2,0.103,27,reviewed,us,us
2019-12-05T12:18:03.681Z,36.0093,68.9113,10,4.7,mb,,124,1.469,0.69,us,us60006mdc,2019-12-07T06:38:27.040Z,"19km ENE of Pul-e Khumri, Afghanistan",earthquake,6.2,1.9,0.12,21,reviewed,us,us
2019-12-05T11:57:41.780Z,35.6923333,-117.6111667,6.89,2.73,ml,31,58,0.07806,0.18,ci,ci39217856,2019-12-05T16:29:36.760Z,"10km NE of Ridgecrest, CA",earthquake,0.26,0.77,0.143,25,automatic,ci,ci
2019-12-05T11:41:48.560Z,19.0428,-67.1815,7,3.25,md,11,280,0.5796,0.31,pr,pr2019339006,2019-12-05T15:49:08.684Z,"61km N of San Antonio, Puerto Rico",earthquake,2.37,2.34,0.32,9,reviewed,pr,pr
2019-12-05T11:06:37.347Z,-6.2169,128.6741,306.23,4.6,mb,,53,3.14,0.84,us,us60006mcu,2019-12-05T11:24:33.040Z,"281km SSE of Amahusu, Indonesia",earthquake,6.8,7.8,0.098,31,reviewed,us,us
